id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
5015820900239921,O6DzA10pH,1074273855,赵林-甘露公益,#贾乃亮品尝天水麻辣烫#，又辣又香又入味，一口下去停不下来，“太好吃了，好吃到想跳舞”#天水麻辣烫##定西宽粉#L赵林-甘露公益的微博视频,,天水,,"贾乃亮品尝天水麻辣烫,天水麻辣烫,定西宽粉",5,5,58,2024-03-25 14:32,微博视频号,,"http://f.video.weibocdn.com/o0/CWdVfwJ6lx08dyNXo5L201041200t6zb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191982&ssig=HzNz6a0o1G&KID=unistore,video",,甘肃
5015997729210818,O6IaMCE9A,6112869576,杨六郎-微博,#天水麻辣烫#细粉，韭叶粉，宽粉，手擀粉每种建议单独吃一次，吃细粉一定要多放花生。菜的话，土豆建议脆一点，不过也有人喜欢吃煮绵一点的，豆腐泡和面筋最吸调料，很带劲，肉类午餐肉或者火腿肠比较绝绝子，看个人喜好，茼蒿，菠菜等如果是整根建议吃前吹一吹，别烫得卡在嗓子里了。麻辣烫原来有这么种类啊，我喜欢吃肉，午餐肉和火腿是首选。,,,,天水麻辣烫,4,16,66,2024-03-26 02:15,,['https://wx3.sinaimg.cn/large/006FGYCAgy1ho3shonppbj30u01t04d9.jpg'],,,广东
5015722109437269,O6B0eDB41,1074273855,赵林-甘露公益,【#甘肃非遗百科#--清水赵充国陵园】赵充国陵园位于清水县城西北一公里处的牛头河北岸第一台地李崖村西500米。最早建于汉朝。宋代又置了祭田，广栽松柏，建立祭殿。清嘉庆、道光年间，诏谕大规模修葺，墓朝南，墓区现存封土冢，冢略呈圆锥体，高3.8米，底部直径10米，周长18米，青草茂密，静幽清寂。墓前有碑亭两座，内立有清嘉庆十三年“大汉后将军营平侯赵壮公讳充国之墓”碑和道光己酉年“汉故营平侯赵公之墓”碑。碑均为圆首方趺，砂砾岩质，拱首条碑，通高1.5米、宽0.65米。碑文阴刻楷书，记载赵充国功绩及生平。墓葬保存较好，对研究西汉历史有重要价值。现存的墓碑皆为清代遗物。赵充国(前137一前52年)，是西汉名将，字翁孙，陇西上邽人。为人沉着勇敢，熟悉兵法，精通少数民族事务，有将帅宏略。他在对匈奴、羌、氐的战争中，审时度势，每战必胜，威名远扬，汉武帝时任中郎将，车骑将军长史，昭帝时封水衡都尉后将军，宣帝时被封营平侯，曾为西汉王朝的强盛，保障丝绸之路的畅通立下奇功。甘露二年（前52年）十二月病逝，享年八十六岁，谥号壮侯，葬于卦山之阳（今清水县城西北的李崖）。赵充国在中国历史上最有名的是提出了“寓兵于农，耕战两利”的策略，即屯田法。此方法被汉宣帝采纳后，取得了对羌战争的最终胜利，保持了西北边疆的稳定，同时对发展边疆农业也起到了积极的促进作用。赵充国之后，屯田法被历代政治家、军事家在实践中广为应用，在中国历史上产生了巨大的影响。赵充国陵园离清水县城一公里，驱车车程很短，交通快捷、便利。是爱国主义教育基地，更是现在众多游客前往参观游览必选之地。#天水麻辣烫#@清水融媒体中心L赵林-甘露公益的微博视频,,天水,清水融媒体中心,"甘肃非遗百科,天水麻辣烫",3,28,22,2024-03-25 08:00,微博视频号,,"http://f.video.weibocdn.com/o0/AZ7xuBWclx08dxJjQ1yU01041204eJLi0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191982&ssig=lt9C5R0APS&KID=unistore,video",,甘肃
5014772259226209,O6cidCI9P,7509646499,中原-老张,#天水辣椒摊大爷终于有空休息了#随着天水麻辣烫的火爆出圈，越来越多的人开始关注这个美丽的城市。那些捣辣椒的大爷们，也因为游客们的喜爱而得到了更多的关注和尊重。他们用自己的双手，为这座城市增添了一份独特的魅力。#甘肃除了辣椒还有啥好吃的##天水麻辣烫#,,,,"天水辣椒摊大爷终于有空休息了,甘肃除了辣椒还有啥好吃的,天水麻辣烫",16,57,30,2024-03-22 17:05,公益正能量iPhone 11 Pro Max,[],,,河南
5012152757258382,O569duseG,1363502007,辽宁消防,【#甘肃麻辣烫随机香晕一个没吃过的人#】比起一直火热的四川麻辣烫、东北黏糊麻辣烫，最近，甘肃麻辣烫也火了。#甘肃麻辣烫爆火快递员日发千斤辣椒#这个低调的西北大省，悄悄把麻辣烫这种国民小吃的形制发挥到了另一重极致。和@甘肃消防@天水消防的蓝朋友一起来吃消防站里嘎嘎香的#天水麻辣烫#吧~Q弹Q弹的手擀粉，红彤彤的甘谷辣子，满满酱料，香辣再混合浓油赤酱的咸爽，足以打开新世界的大门。ps:你们中午吃的啥？记得厨房用火不离人哦~L中国消防的微博视频,,,"甘肃消防,天水消防","甘肃麻辣烫随机香晕一个没吃过的人,甘肃麻辣烫爆火快递员日发千斤辣椒,天水麻辣烫",25,57,141,2024-03-15 11:36,微博视频号,,"http://f.video.weibocdn.com/o0/jAp6bmePlx08diwRNeu401041200A3lF0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191982&ssig=O5SbYBSlH2&KID=unistore,video",,
5012987260178293,O5rRc0KnH,2438662400,记忆不会塌v,#天水麻辣烫#天水麻辣烫🔥了，天水文旅反应迅速的抓住这波富贵，连夜刷墙迎接游客，开通麻辣烫专线，机场高铁站免费接送就连最有名的羲皇大道都在一周内修好了！现在流量就是富贵，怎么有的地方的文旅一点都不重视这泼天的富贵呢,,,,天水麻辣烫,2,7,24,2024-03-17 18:52,,,,,江西
5018407070336674,O7IQP1pAe,5044759487,天猫国际,不是天水去不起，而是阿里食堂更有性价比，快来一起吃～#我的全球新发现##天水麻辣烫#L天猫国际的微博视频,,,,"我的全球新发现,天水麻辣烫",2,6,59,2024-04-01 17:49,微博视频号,,"http://f.video.weibocdn.com/o0/sInSxYHflx08dKbGAwlO010412019rFw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191991&ssig=0wk0CMl17m&KID=unistore,video",,浙江
5016514612692383,O6VCtbipx,1236392942,马丁马小虎,#南京一米线店改名成甘肃麻辣烫店#现在看到这种新闻，感觉有些视觉疲劳。#淄博烧烤#刚火的时候，感觉是惊喜和好奇尔滨出圈的时候，商量着啥时候去一趟#天水麻辣烫#也让人流口水，但是没了一开始的冲动再而衰，三而竭下一个爆火的城市或者美食或者景点估计引起的热度会衰减不少，因为大家可能都有些疲了当身边处处都是网红打卡地的时候，网民感觉就不太够用了除了猎奇和消费，还应该有些别的事情会持续引发大家的关注，比如校园霸凌，比如中国股市，比如我们的医疗，比如更好的孩子的教育,,,,"南京一米线店改名成甘肃麻辣烫店,淄博烧烤,天水麻辣烫",1,5,16,2024-03-27 12:29,HUAWEI P40 Pro 5G,,,,北京
5014716529770580,O6aQkEZM0,5890965060,冰川思想库,#天水麻辣烫#【看到哈尔滨的经济数据，天水还怎么照抄作业？】哈尔滨之后，又一个网红城市出现了，那就是位于大西北的甘肃天水。因为一碗麻辣烫，甘肃天水成功出圈，成为最近几天的顶流城市。就在前不久，哈尔滨公布了2023年的经济数据。很遗憾，GDP增速只有3.1%，跑输了5.2%的全国大盘数据，名义增速只有1.57%，在副省级城市中排名垫底。旅游业的爆火，和宏观经济表现的低迷，形成了鲜明的对比。这意味着在很大程度上，流量爆发带来的所谓的泼天富贵，其实是个伪命题。O看到哈尔滨的经济数据，天水还怎么照抄作业？,,,,天水麻辣烫,6,11,18,2024-03-22 13:24,微博 weibo.com,,,,浙江
5017601939868983,O7nUdFpn9,1878134457,兰州大学,#兰大留学生挑战吃天水麻辣烫##天水麻辣烫#这份来自兰大留学生的天水麻辣烫攻略请查收～L兰州大学的微博视频,,,,"兰大留学生挑战吃天水麻辣烫,天水麻辣烫",1,1,45,2024-03-30 12:29,兰大的小紫藤,,"http://f.video.weibocdn.com/o0/DQmvekttlx08dGvyDUGs01041203mvMb0E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191991&ssig=57fr31KA6J&KID=unistore,video",,甘肃
